ticker,start,end,missed_seeds,n_missed_seeds,days,mean_score_ratio,max_score
PHM,2023-07-25,2023-07-25,1,1,1,0.15801814186835936,0.0004227478755638
GS,2023-12-14,2023-12-14,1,1,1,0.1593851638436073,0.0004264050862426
BAC,2023-12-14,2023-12-14,1,1,1,0.16376507273859753,0.0004381227102991
TSLA,2024-11-06,2024-11-06,2,1,1,0.1666182253318406,0.0004679857179565
ADBE,2023-05-03,2023-05-03,0,1,1,0.1700784327940861,0.0002578235222851
RCL,2024-02-22,2024-02-22,1,1,1,0.1911471989388971,0.0005113784488031
LULU,2024-03-22,2024-03-22,1,1,1,0.19721347914755175,0.0005276076427454
AAPL,2023-08-04,2023-08-04,0,1,1,0.200769554624125,0.0003043484872857
GOOG,2024-08-05,2024-08-05,1,1,1,0.21433907840648947,0.0005734239687626
NVDA,2024-02-22,2024-02-22,1,1,1,0.22105282677738125,0.0005913853422309
MA,2024-02-20,2024-02-20,0,1,1,0.24792443198389874,0.0003758310166934
MMM,2023-09-13,2023-09-13,0,1,1,0.27094570875169577,0.0004107291902376
ABBV,2024-11-11,2024-11-11,1,1,1,0.2751717484574694,0.000736170358037
PHM,2023-12-14,2023-12-14,1,1,1,0.29651091090272713,0.0007932592813934
MRK,2024-03-27,2024-03-27,2,1,1,0.2999330024345227,0.0008424310197976
TMO,2024-01-31,2024-01-31,0,1,1,0.30447665459079537,0.0004615590716033
APD,2024-02-05,2024-02-05,1,1,1,0.3131412645750088,0.0008377506708105
BAC,2023-03-09,2023-03-09,2,1,1,0.3189983728957021,0.0008959805103507
ALLE,2024-10-24,2024-10-24,1,1,1,0.32257026214340373,0.0008629761838029
ACN,2024-09-17,2024-09-17,0,1,1,0.3268165678018848,0.0004954243596178
LULU,2023-09-01,2023-09-01,1,1,1,0.33040499488837416,0.000883936540534
EMR,2024-02-07,2024-02-07,1,1,1,0.35005022290935656,0.0009364936603219
GILD,2023-07-24,2023-07-24,0,1,1,0.3525666246997402,0.0005344591170493
CSCO,2023-08-17,2023-08-17,1,1,1,0.3773898207475627,0.0010096356221765
ABT,2023-10-11,2023-10-11,0,1,1,0.3779193746216746,0.0005728915930376
PLTR,2023-05-18,2023-05-18,0,1,1,0.3958685138421437,0.0006001008647823
KVUE,2024-02-08,2024-02-08,0,1,1,0.4028246388033416,0.0006106457211141
AKAM,2024-11-08,2024-11-08,1,1,1,0.40721193256237165,0.0010894190841605
GM,2024-11-26,2024-11-26,0,1,1,0.4097685898676379,0.0006211721229192
BAC,2023-03-13,2023-03-13,1,1,1,0.4153463585769798,0.0011111812139764
UNH,2023-07-14,2023-07-14,2,1,1,0.42832614932599306,0.0012030527879687
PM,2023-04-20,2023-04-20,0,1,1,0.42838648796205553,0.0006493951726345
MMM,2023-01-24,2023-01-24,0,1,1,0.43261455255282216,0.0006558045361695
EXPE,2024-05-03,2024-05-03,1,1,1,0.4374324489655582,0.0011702684028326
CSCO,2023-02-16,2023-02-16,1,1,1,0.44062422662852174,0.0011788074048126
ROST,2023-08-18,2023-08-18,1,1,1,0.45491114381677616,0.0012170293698242
MCD,2024-03-13,2024-03-13,0,1,1,0.461232785738808,0.000699187189457
ALGN,2023-07-27,2023-07-27,1,1,1,0.4648372094942424,0.0012435846952333
BBY,2023-12-14,2023-12-14,1,1,1,0.468630832266364,0.0012537338208251
LULU,2024-01-31,2024-01-31,0,1,1,0.47300307973263894,0.0007170298906506
CVS,2024-05-01,2024-05-01,1,1,1,0.4735683931530063,0.0012669433381034
AOS,2024-10-11,2024-10-11,0,1,1,0.4811724706981442,0.0007294139485176
PLTR,2024-08-06,2024-08-06,2,1,1,0.49079637357495415,0.0013785148221359
AVGO,2023-12-11,2023-12-11,1,1,1,0.4932760735909217,0.0013196675376093
LOW,2023-12-14,2023-12-14,1,1,1,0.49347755166442536,0.0013202065543737
WMT,2024-02-20,2024-02-20,2,1,1,0.49773693006928615,0.001398008975957
BBY,2023-08-22,2023-08-22,0,1,1,0.5097841724163176,0.0007727867006906
RTX,2023-09-11,2023-09-11,2,1,1,0.5241631587488584,0.0014722331346699
LULU,2023-01-09,2023-01-09,0,1,1,0.5250008728020503,0.0007958538422826
ALLE,2023-04-26,2023-04-26,1,1,1,0.529785710642524,0.0014173422179889
AMD,2023-12-07,2023-12-07,1,1,1,0.5374406318676903,0.0014378215227528
TSLA,2023-10-19,2023-10-19,0,1,1,0.5425831796466061,0.0008225070293216
EL,2023-11-01,2023-11-02,1,1,2,0.5623325183110935,0.0015044150922525
ABBV,2024-04-04,2024-04-04,0,1,1,0.5780625223953348,0.00087629050419
