seed,ticker,start,end,days,peak_date,max_score,threshold,score_ratio,under_threshold
0,LMT,2024-10-01,2024-10-01,1,2024-10-01,0.0001239477700134,0.0015159095603688145,0.08176462056433237,0.0013919617903554145
0,APD,2024-07-22,2024-07-22,1,2024-07-22,0.00012497271836,0.0015159095603688145,0.08244074819977695,0.0013909368420088144
0,ALL,2023-12-14,2023-12-14,1,2023-12-14,0.0001253054802721,0.0015159095603688145,0.08266026123722955,0.0013906040800967146
0,EMR,2023-02-08,2023-02-08,1,2023-02-08,0.0001260587704074,0.0015159095603688145,0.08315718411112233,0.0013898507899614144
0,BKNG,2024-07-25,2024-07-25,1,2024-07-25,0.0001300870707818,0.0015159095603688145,0.08581453286048961,0.0013858224895870145
0,GE,2024-09-03,2024-09-03,1,2024-09-03,0.0001304508271156,0.0015159095603688145,0.08605449198688467,0.0013854587332532144
0,C,2024-01-30,2024-01-30,1,2024-01-30,0.0001343491402167,0.0015159095603688145,0.08862609203679236,0.0013815604201521145
0,PG,2024-08-01,2024-08-01,1,2024-08-01,0.0001356203500108,0.0015159095603688145,0.0894646709516128,0.0013802892103580145
0,ARE,2024-07-24,2024-07-24,1,2024-07-24,0.0001357615835634,0.0015159095603688145,0.0895578384836954,0.0013801479768054145
0,CVX,2024-06-03,2024-06-03,1,2024-06-03,0.0001361286047237,0.0015159095603688145,0.08979995131805915,0.0013797809556451144
0,PM,2024-04-23,2024-04-23,1,2024-04-23,0.0001384844458167,0.0015159095603688145,0.09135402891911791,0.0013774251145521146
0,HON,2023-04-27,2023-04-27,1,2023-04-27,0.0001393934863926,0.0015159095603688145,0.09195369568002866,0.0013765160739762144
0,AFL,2023-12-14,2023-12-14,1,2023-12-14,0.0001418702657247,0.0015159095603688145,0.0935875526045126,0.0013740392946441145
0,UNH,2023-04-03,2023-04-03,1,2023-04-03,0.0001430463083655,0.0015159095603688145,0.0943633526070628,0.0013728632520033145
0,ABNB,2023-10-03,2023-10-03,1,2023-10-03,0.000156822265914,0.0015159095603688145,0.1034509379806575,0.0013590872944548144
0,UNH,2024-12-05,2024-12-05,1,2024-12-05,0.0001568650922207,0.0015159095603688145,0.10347918920871202,0.0013590444681481145
0,JNJ,2023-07-31,2023-07-31,1,2023-07-31,0.0001609223138681,0.0015159095603688145,0.10615561645310045,0.0013549872465007146
0,PG,2024-11-08,2024-11-08,1,2024-11-08,0.0001648588308348,0.0015159095603688145,0.10875241844552425,0.0013510507295340145
0,UNH,2024-01-12,2024-01-12,1,2024-01-12,0.0001663336257782,0.0015159095603688145,0.10972529636776729,0.0013495759345906145
0,BMY,2024-10-31,2024-10-31,1,2024-10-31,0.0001685970247698,0.0015159095603688145,0.1112183926914354,0.0013473125355990144
0,LW,2024-12-13,2024-12-13,1,2024-12-13,0.0001746395673762,0.0015159095603688145,0.11520447653467594,0.0013412699929926145
0,ALLE,2023-12-08,2023-12-08,1,2023-12-08,0.0001762036743987,0.0015159095603688145,0.11623627095262225,0.0013397058859701144
0,LEN,2024-11-25,2024-11-25,1,2024-11-25,0.0001779562084084,0.0015159095603688145,0.11739236499379553,0.0013379533519604144
0,JPM,2024-08-02,2024-08-02,1,2024-08-02,0.000182261424167,0.0015159095603688145,0.12023238650375459,0.0013336481362018144
0,GOOGL,2024-11-21,2024-11-21,1,2024-11-21,0.0001835212302399,0.0015159095603688145,0.12106344272626003,0.0013323883301289145
0,ACN,2024-10-30,2024-10-30,1,2024-10-30,0.0001907694183268,0.0015159095603688145,0.12584485467615006,0.0013251401420420145
0,ALL,2024-07-18,2024-07-18,1,2024-07-18,0.000191535621343,0.0015159095603688145,0.1263502957896777,0.0013243739390258144
0,INTC,2024-07-08,2024-07-08,1,2024-07-08,0.0001935937657435,0.0015159095603688145,0.12770799182531672,0.0013223157946253145
0,LIN,2023-02-07,2023-02-07,1,2023-02-07,0.0002083082261378,0.0015159095603688145,0.13741467933424703,0.0013076013342310144
0,MRK,2024-02-01,2024-02-01,1,2024-02-01,0.0002089342373589,0.0015159095603688145,0.13782764013182106,0.0013069753230099145
0,ISRG,2023-10-11,2023-10-11,1,2023-10-11,0.0002092629698987,0.0015159095603688145,0.13804449511340716,0.0013066465904701145
