ticker,start,end,n_missed_seeds,missed_seeds,mean_score_ratio,miss_type_50,miss_type_75,label_return_abs_z3,label_volume_z2,label_volratio_1p5,panel_return_extreme,panel_volume_extreme,panel_gap_extreme,max_abs_z_return,max_volume_z,max_vol_ratio_5_20,max_abs_gap,max_abs_log_return_1d,peak_return_date
ROST,2024-11-25,2024-11-25,2,"0,1",0.3701674188592668,hard_miss,hard_or_mid,True,True,False,True,False,False,3.5862344929333085,2.3513300349181585,1.2015900011905103,0.0187555000917014,0.0481085655181408,2024-11-25
CSCO,2023-04-19,2023-04-19,2,"0,2",0.3829293325657076,hard_miss,hard_or_mid,True,True,False,True,False,False,3.8634193257933576,2.043576763370875,1.4061576094061814,0.0214669186863223,0.0461698527346715,2023-04-19
MSFT,2023-10-26,2023-10-26,2,"1,2",0.3979614153272374,hard_miss,hard_or_mid,True,True,False,False,False,False,3.096183301769317,2.551601111159331,1.423708818172326,0.00038160602071,0.0382360659779629,2023-10-26
TMO,2023-04-25,2023-04-25,2,"1,2",0.4008243919776089,hard_miss,hard_or_mid,True,True,False,True,False,False,3.6092102715350256,2.869051889373453,1.3402228385606507,0.017673653861501,0.0461834284566653,2023-04-25
INTU,2023-10-25,2023-10-25,2,"0,2",0.4188945626824512,hard_miss,hard_or_mid,True,True,False,False,False,False,3.1895172253089608,2.632515857525369,1.0017411149135411,0.0107151485913721,0.0461019746025384,2023-10-25
MCD,2024-02-05,2024-02-05,2,"0,1",0.4257059243878369,hard_miss,hard_or_mid,True,True,False,True,False,True,4.704961009879262,3.073312003047088,1.493113799084907,0.033798975806819,0.0380135447435432,2024-02-05
ABT,2023-07-20,2023-07-20,2,"0,1",0.4350350899056291,hard_miss,hard_or_mid,True,True,False,True,False,False,4.77679298317484,2.532864851205082,1.4698165036221351,0.0076436085271688,0.0415377110466426,2023-07-20
APTV,2023-12-14,2023-12-14,2,"0,1",0.4611632681691642,hard_miss,hard_or_mid,True,False,True,True,False,False,3.678729539117892,1.8139324174813436,1.5550409316001412,0.0203480754505139,0.0853653810926999,2023-12-14
GE,2024-09-03,2024-09-03,2,"0,2",0.4659800869795596,hard_miss,hard_or_mid,True,False,True,True,False,False,3.248300534213946,0.5194662065329122,1.613311248419218,0.0024625531983655,0.0614661243851561,2024-09-03
COP,2024-10-31,2024-10-31,2,"1,2",0.5005435705228767,threshold_miss,hard_or_mid,True,True,False,True,False,True,3.9814892494108887,2.1011261591659,1.3753174093906737,0.038745375149058,0.0617549698417964,2024-10-31
C,2024-11-06,2024-11-06,2,"1,2",0.5149662937608968,threshold_miss,hard_or_mid,True,True,False,True,True,True,4.475667481928285,4.088474282455438,1.271098492391184,0.0742891595153515,0.0808275240031752,2024-11-06
GS,2024-08-02,2024-08-02,2,"0,1",0.5252411944041906,threshold_miss,hard_or_mid,True,True,False,True,True,False,4.920161386955633,3.4725741370007333,1.4416064017473411,0.0180356096631326,0.0607545174643734,2024-08-02
LOW,2024-11-19,2024-11-19,2,"0,2",0.5318972023022226,threshold_miss,hard_or_mid,True,True,False,True,False,True,4.544201082497612,2.892273679333249,1.277474399456643,0.0319388709057279,0.0471247520131571,2024-11-19
