seed,ticker,start,end,days,peak_date,max_score,threshold,score_ratio
0,BLK,2023-12-15,2023-12-15,1,2023-12-15,0.0015995413947772,0.0015159095603688145,1.0551694089112007
0,PM,2023-03-17,2023-03-17,1,2023-03-17,0.001598012980349,0.0015159095603688145,1.0541611598255307
0,CCL,2023-11-14,2023-11-14,1,2023-11-14,0.0015966322947254,0.0015159095603688145,1.0532503629945749
0,MA,2023-05-31,2023-05-31,1,2023-05-31,0.0015857675898587,0.0015159095603688145,1.0460832435629532
0,DLTR,2024-11-06,2024-11-06,1,2024-11-06,0.0015850954771993,0.0015159095603688145,1.045639871031391
0,CAT,2024-02-05,2024-02-05,1,2024-02-05,0.001563738067125,0.0015159095603688145,1.0315510291686194
0,CVX,2023-03-17,2023-03-17,1,2023-03-17,0.0015568834608949,0.0015159095603688145,1.0270292513467074
0,WFC,2023-11-24,2023-11-24,1,2023-11-24,0.0015466404894444,0.0015159095603688145,1.0202722707732703
0,MRK,2023-03-17,2023-03-17,1,2023-03-17,0.0015424984393086,0.0015159095603688145,1.0175398847232788
0,NVDA,2023-06-13,2023-06-13,1,2023-06-13,0.00154054679903,0.0015159095603688145,1.0162524462575402
0,LEN,2023-09-15,2023-09-15,1,2023-09-15,0.0015386531844948,0.0015159095603688145,1.0150032856316653
1,BMY,2024-03-15,2024-03-15,1,2024-03-15,0.0565306569867971,0.0026753122810163144,21.130489097639803
1,ALGN,2023-12-14,2023-12-14,1,2023-12-14,0.0435014676781065,0.0026753122810163144,16.260332667250676
1,INTC,2023-01-27,2023-01-27,1,2023-01-27,0.0345937810424301,0.0026753122810163144,12.93074505279376
1,MU,2023-09-28,2023-09-28,1,2023-09-28,0.0315376556808284,0.0026753122810163144,11.788401639919089
1,C,2023-07-14,2023-07-14,1,2023-07-14,0.0284311677794903,0.0026753122810163144,10.627233307017784
1,TMUS,2024-12-09,2024-12-09,1,2024-12-09,0.0268215001560747,0.0026753122810163144,10.025558640909606
1,AAPL,2024-12-20,2024-12-20,1,2024-12-20,0.0263263891184968,0.0026753122810163144,9.840492007346436
1,AVGO,2024-09-06,2024-09-06,1,2024-09-06,0.02625721201548,0.0026753122810163144,9.814634426716438
1,ALGN,2024-02-01,2024-02-01,1,2024-02-01,0.0261054348154478,0.0026753122810163144,9.757901909503703
1,AMD,2023-08-02,2023-08-02,1,2023-08-02,0.0258463483519638,0.0026753122810163144,9.66105846235832
1,EMR,2023-08-02,2023-08-02,1,2023-08-02,0.0237229314050637,0.0026753122810163144,8.867350392475187
1,MRK,2023-11-30,2023-11-30,1,2023-11-30,0.0216527336257665,0.0026753122810163144,8.09353501623404
1,KO,2023-05-31,2023-05-31,1,2023-05-31,0.0206569812726229,0.0026753122810163144,7.72133459678793
1,MO,2023-03-17,2023-03-17,1,2023-03-17,0.0196890615849182,0.0026753122810163144,7.3595376975724855
1,DE,2023-11-22,2023-11-22,1,2023-11-22,0.0196613844841219,0.0026753122810163144,7.349192325560144
1,AMD,2024-04-04,2024-04-04,1,2024-04-04,0.0193483659066259,0.0026753122810163144,7.23218969386098
1,AMD,2024-07-17,2024-07-17,1,2024-07-17,0.0183259302701723,0.0026753122810163144,6.850015379591698
1,LMT,2023-03-17,2023-03-17,1,2023-03-17,0.0182086010732186,0.0026753122810163144,6.806159117357844
1,BLDR,2023-12-15,2023-12-15,1,2023-12-15,0.0170727214290915,0.0026753122810163144,6.381580778527211
1,FDX,2024-12-20,2024-12-20,1,2024-12-20,0.0165027612820267,0.0026753122810163144,6.168536435588568
1,KO,2023-12-15,2023-12-15,1,2023-12-15,0.0150091278629285,0.0026753122810163144,5.610233978826105
1,AAPL,2024-09-20,2024-09-20,1,2024-09-20,0.0144656013542165,0.0026753122810163144,5.4070702163865585
1,V,2024-09-24,2024-09-24,1,2024-09-24,0.0142471897493427,0.0026753122810163144,5.325430548963946
1,LIN,2024-03-15,2024-03-15,1,2024-03-15,0.0142357580608707,0.0026753122810163144,5.321157519399093
1,CSCO,2024-05-16,2024-05-16,1,2024-05-16,0.0141217253481348,0.0026753122810163144,5.278533443867776
1,INTC,2024-08-05,2024-08-05,1,2024-08-05,0.0129224667946497,0.0026753122810163144,4.830264820427106
1,TGT,2023-08-16,2023-08-16,1,2023-08-16,0.0129116771238235,0.0026753122810163144,4.826231769443577
1,MHK,2023-01-17,2023-01-17,1,2023-01-17,0.012448234623298,0.0026753122810163144,4.653002459424695
1,ABBV,2023-03-17,2023-03-17,1,2023-03-17,0.0122487164228984,0.0026753122810163144,4.5784249225085905
1,TSLA,2023-07-20,2023-07-20,1,2023-07-20,0.0120374611578881,0.0026753122810163144,4.499460210048912
1,BLDR,2024-10-29,2024-10-29,1,2024-10-29,0.0113661812290295,0.0026753122810163144,4.2485437343829044
1,XOM,2023-10-11,2023-10-11,1,2023-10-11,0.0113039813858146,0.0026753122810163144,4.225294170712801
1,COP,2024-11-25,2024-11-25,1,2024-11-25,0.0111574098281562,0.0026753122810163144,4.170507460877671
